Date,Open,High,Low,Close,Adj Close,Volume
2000-03-02,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-03,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-06,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-07,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-08,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-09,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-10,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-13,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-14,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-15,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-16,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-17,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-20,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-21,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-22,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-23,387.5,387.5,387.5,387.5,330.7450256347656,20000
2000-03-24,387.5,387.5,387.5,387.5,330.7450256347656,0
2000-03-27,387.5,387.5,387.5,387.5,330.7450256347656,0
2000-03-28,387.5,387.5,387.5,387.5,330.7450256347656,0
2000-03-29,387.5,387.5,387.5,387.5,330.7450256347656,0
2000-03-30,387.5,387.5,387.5,387.5,330.7450256347656,0
2000-03-31,387.5,387.5,387.5,387.5,330.7450256347656,0
2000-04-03,387.5,387.5,387.5,387.5,330.7450256347656,0
2000-04-04,387.5,387.5,387.5,387.5,330.7450256347656,0
2000-04-05,363.0,363.0,363.0,363.0,309.8334045410156,5864
2000-04-06,363.0,363.0,363.0,363.0,309.8334045410156,0
2000-04-07,375.0,375.0,375.0,375.0,320.0757751464844,5200
2000-04-10,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-11,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-12,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-13,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-14,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-17,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-18,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-19,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-20,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-21,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-24,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-25,375.0,375.0,375.0,375.0,320.0757751464844,0
