Date,Open,High,Low,Close,Adj Close,Volume
2000-09-12,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-13,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-14,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-15,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-18,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-19,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-20,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-21,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-22,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-25,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-26,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-27,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-28,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-09-29,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-02,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-03,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-04,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-05,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-06,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-09,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-10,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-11,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-12,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-13,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-16,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-17,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-18,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-19,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-20,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-23,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-24,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-25,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-26,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-27,370.0,370.0,370.0,370.0,232.6672821044922,0
2000-10-30,268.0,268.0,268.0,268.0,168.52659606933594,20000
2000-10-31,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-01,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-02,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-03,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-06,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-07,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-08,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-09,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-10,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-13,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-14,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-15,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-16,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-17,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-20,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-21,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-22,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-23,268.0,268.0,268.0,268.0,168.52659606933594,0
